,wavelength,tap,head
95,405.0,1.02242291e-06,1.06878833e-05
96,406.0,1.03816501e-06,1.08129661e-05
97,407.0,1.11873294e-06,1.08446393e-05
98,408.0,9.8589021e-07,1.10588662e-05
99,409.0,1.07760081e-06,1.12661446e-05
100,410.0,9.82693109e-07,1.13583401e-05
101,411.0,1.16149715e-06,1.16429519e-05
102,412.0,1.07446692e-06,1.16489973e-05
103,413.0,1.07826804e-06,1.18542766e-05
104,414.0,1.05073696e-06,1.21392277e-05
105,415.0,1.02786203e-06,1.21375688e-05
106,416.0,1.07249423e-06,1.22968622e-05
107,417.0,1.14001091e-06,1.25489159e-05
108,418.0,1.14050351e-06,1.27670919e-05
109,419.0,1.11494319e-06,1.27818012e-05
110,420.0,1.06109917e-06,1.29119053e-05
111,421.0,1.15104365e-06,1.30497947e-05
112,422.0,1.16771218e-06,1.30833023e-05
113,423.0,1.16221042e-06,1.30576564e-05
114,424.0,1.08777465e-06,1.33254007e-05
115,425.0,1.12301677e-06,1.33760213e-05
116,426.0,1.15733906e-06,1.34216989e-05
117,427.0,1.09056964e-06,1.35030477e-05
118,428.0,1.13713304e-06,1.36348699e-05
119,429.0,1.15272292e-06,1.35548598e-05
120,430.0,1.1752345e-06,1.37842835e-05
121,431.0,1.14584805e-06,1.36282324e-05
122,432.0,1.1748798e-06,1.39259773e-05
123,433.0,1.18707237e-06,1.39638832e-05
124,434.0,1.16287856e-06,1.41051087e-05
125,435.0,1.1371302e-06,1.4265308e-05
126,436.0,1.11004147e-06,1.43310872e-05
127,437.0,1.20840446e-06,1.44952164e-05
128,438.0,1.18417677e-06,1.43748566e-05
129,439.0,1.14098077e-06,1.47231394e-05
130,440.0,1.16189221e-06,1.46002867e-05
131,441.0,1.16999217e-06,1.48230538e-05
132,442.0,1.10984161e-06,1.4827081e-05
133,443.0,1.15973728e-06,1.48932495e-05
134,444.0,1.16803744e-06,1.50400128e-05
135,445.0,1.17216689e-06,1.50894894e-05
136,446.0,1.14032457e-06,1.54655172e-05
137,447.0,1.13864303e-06,1.55154321e-05
138,448.0,1.1942941e-06,1.56547558e-05
139,449.0,1.2581296e-06,1.60028576e-05
140,450.0,1.22061965e-06,1.62433371e-05
141,451.0,1.22143342e-06,1.64191588e-05
142,452.0,1.29943692e-06,1.66493592e-05
143,453.0,1.28749559e-06,1.68266106e-05
144,454.0,1.29425143e-06,1.68595216e-05
145,455.0,1.30988735e-06,1.73769022e-05
146,456.0,1.3608643e-06,1.72527125e-05
147,457.0,1.29438774e-06,1.73310509e-05
148,458.0,1.36344363e-06,1.78442097e-05
149,459.0,1.34678123e-06,1.79938379e-05
150,460.0,1.39031613e-06,1.8114617e-05
151,461.0,1.44920773e-06,1.88197755e-05
152,462.0,1.4422875e-06,1.91248491e-05
153,463.0,1.49043547e-06,1.97764894e-05
154,464.0,1.57606769e-06,2.04669414e-05
155,465.0,1.57589795e-06,2.1037953e-05
156,466.0,1.61825164e-06,2.14040738e-05
157,467.0,1.68256645e-06,2.22092494e-05
158,468.0,1.64116602e-06,2.22218168e-05
159,469.0,1.68410941e-06,2.25537624e-05
160,470.0,1.67527185e-06,2.25609856e-05
161,471.0,1.59730212e-06,2.22774161e-05
162,472.0,1.61948356e-06,2.20631828e-05
163,473.0,1.57905379e-06,2.16509416e-05
164,474.0,1.53963845e-06,2.10367507e-05
165,475.0,1.47399157e-06,2.06099212e-05
166,476.0,1.46110017e-06,2.01733219e-05
